Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,7005.390137,7073.790039,7005.390137,7053.379883,7053.354004,1818200
2012-01-04,7093.069824,7116.220215,7064.580078,7082.970215,7082.943848,2132200
2012-01-05,7099.350098,7130.859863,7073.319824,7130.859863,7130.833008,2209000
2012-01-06,7129.529785,7139.040039,7090.470215,7120.509766,7120.482910,2354400
2012-01-09,7103.089844,7103.089844,7050.250000,7093.040039,7093.013672,1741000
2012-01-10,7128.859863,7181.740234,7128.859863,7178.870117,7178.842773,2546400
2012-01-11,7203.100098,7212.359863,7184.379883,7188.209961,7188.182617,2389000
2012-01-12,7202.379883,7209.740234,7173.870117,7186.580078,7186.552734,2178800
2012-01-13,7226.240234,7249.939941,7169.919922,7181.540039,7181.512695,2530000
2012-01-16,7241.919922,7258.839844,7091.350098,7103.620117,7103.593750,2092600
2012-01-17,7144.200195,7221.080078,7118.359863,7221.080078,7221.052734,2607400
2012-01-18,7235.540039,7245.129883,7194.549805,7233.689941,7233.662598,3019600
2012-01-30,7382.720215,7443.029785,7382.720215,7407.410156,7407.382324,3584800
2012-01-31,7436.520020,7517.080078,7421.009766,7517.080078,7517.051758,4300400
2012-02-01,7520.359863,7566.080078,7488.970215,7549.209961,7549.181152,4049800
2012-02-02,7613.790039,7652.459961,7578.759766,7652.459961,7652.431152,4452800
2012-02-03,7658.680176,7674.990234,7608.410156,7674.990234,7674.961426,4261800
2012-02-06,7752.279785,7752.279785,7677.560059,7687.979980,7687.951172,3712400
2012-02-07,7680.359863,7751.759766,7673.910156,7707.439941,7707.411133,2997600
2012-02-08,7766.379883,7869.910156,7766.379883,7869.910156,7869.880371,3991000
2012-02-09,7863.359863,7910.779785,7840.379883,7910.779785,7910.749512,4228800
2012-02-10,7922.609863,7941.629883,7848.779785,7862.270020,7862.240234,3965600
2012-02-13,7849.209961,7917.959961,7837.580078,7912.910156,7912.879883,3467600
2012-02-14,7937.279785,7937.279785,7829.759766,7884.080078,7884.049805,3394800
2012-02-15,7919.410156,8011.870117,7902.080078,8005.240234,8005.209473,3961800
2012-02-16,7983.750000,8010.500000,7851.620117,7869.700195,7869.670410,4457800
2012-02-17,7956.910156,8013.459961,7862.109863,7894.359863,7894.329590,3787200
2012-02-20,7959.990234,7985.500000,7913.649902,7954.819824,7954.789551,2815200
2012-02-21,7953.060059,7973.470215,7870.259766,7921.500000,7921.469727,2942600
2012-02-22,7908.379883,8018.540039,7897.649902,8001.680176,8001.649414,3485200
2012-02-23,7981.919922,7991.919922,7935.419922,7937.299805,7937.269531,2861400
2012-02-24,7971.620117,7974.580078,7899.620117,7959.339844,7959.309570,2811000
2012-02-29,8046.140137,8121.439941,8046.140137,8121.439941,8121.409180,3454400
2012-03-01,8127.569824,8151.700195,8103.750000,8118.339844,8118.309082,2838000
2012-03-02,8161.870117,8170.720215,8114.140137,8144.040039,8144.009277,3160600
2012-03-05,8105.270020,8115.490234,7998.959961,8004.740234,8004.709473,2834600
2012-03-06,8006.850098,8028.020020,7860.870117,7937.970215,7937.939941,3057000
2012-03-07,7846.490234,7937.109863,7824.450195,7903.080078,7903.049805,2595200
2012-03-08,7952.939941,8000.930176,7905.500000,7984.560059,7984.529297,2728800
2012-03-09,8012.589844,8027.080078,7965.680176,8016.009766,8015.979004,2700200
2012-03-12,8028.870117,8028.870117,7927.549805,7927.549805,7927.519531,2189200
2012-03-13,7990.600098,8045.609863,7974.379883,8031.509766,8031.479004,2546000
2012-03-14,8132.959961,8170.310059,8113.759766,8125.259766,8125.229004,3113400
2012-03-15,8141.930176,8142.979980,8088.100098,8121.620117,8121.589355,2435400
2012-03-16,8130.279785,8130.520020,8054.939941,8054.939941,8054.909180,2726400
2012-03-19,8113.459961,8123.149902,7997.049805,8043.919922,8043.889160,2103800
2012-03-20,8062.910156,8062.910156,7965.959961,7972.700195,7972.669922,1996000
2012-03-21,7993.459961,8013.669922,7940.189941,7981.939941,7981.909180,2182400
2012-03-22,7997.660156,8075.970215,7995.569824,8059.939941,8059.909180,2196000
2012-03-23,8067.930176,8076.609863,8030.879883,8076.609863,8076.579102,1973800
2012-03-26,8073.930176,8073.930176,7958.720215,7967.620117,7967.589844,2166800
2012-03-27,8033.220215,8033.220215,7978.740234,8029.459961,8029.429199,1976800
2012-03-28,8074.640137,8085.430176,8013.799805,8038.069824,8038.039063,1997800
2012-03-29,7997.870117,7997.870117,7808.549805,7872.660156,7872.630371,3208800
2012-03-30,7832.220215,7933.000000,7775.750000,7933.000000,7932.969727,2408600
2012-04-02,7905.879883,7928.430176,7859.560059,7862.899902,7862.870117,1675400
2012-04-03,7896.720215,7907.620117,7723.390137,7760.850098,7760.821289,2535800
2012-04-05,7603.310059,7667.040039,7528.029785,7639.819824,7639.791016,2431800
2012-04-06,7667.899902,7713.240234,7638.049805,7706.259766,7706.230957,1921400
2012-04-09,7587.680176,7650.890137,7529.390137,7600.870117,7600.841309,1478200
2012-04-10,7659.029785,7692.939941,7605.669922,7640.680176,7640.651367,1692200
2012-04-11,7592.939941,7666.069824,7573.049805,7656.669922,7656.641113,1641000
2012-04-12,7669.459961,7673.839844,7599.000000,7662.919922,7662.891113,1762800
2012-04-13,7734.549805,7788.270020,7733.180176,7788.270020,7788.241211,2215400
2012-04-16,7747.359863,7749.490234,7714.140137,7729.859863,7729.831055,1476200
